Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,region
481,Sonic Heroes,PS2,2003.0,Platform,Sega,1.04,1.37,0.06,0.49,2.96,EU
482,Kirby Super Star Ultra,DS,2008.0,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96,NA
483,Hitman 2: Silent Assassin,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,NA
484,Street Fighter IV,X360,2009.0,Fighting,Capcom,1.82,0.71,0.15,0.26,2.95,NA
485,Wave Race 64,N64,1996.0,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,NA
486,SOCOM II: U.S. Navy SEALs,PS2,2003.0,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94,NA
487,WWE SmackDown! vs. RAW 2006,PS2,2005.0,Fighting,THQ,1.45,1.11,0.04,0.33,2.94,NA
488,inFAMOUS,PS3,2009.0,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,2.94,NA
489,Pac-Man Collection,GBA,2001.0,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94,NA
490,Mass Effect,X360,2007.0,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,0.27,2.93,NA
491,WarioWare: Smooth Moves,Wii,2006.0,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92,EU
492,Cooking Mama: Cook Off,Wii,2007.0,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91,NA
493,Super Mario World 2: Yoshi's Island,GBA,2002.0,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91,NA
494,FIFA 14,PS4,2013.0,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9,EU
495,Titanfall,XOne,2014.0,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9,NA
496,Sonic Mega Collection Plus,PS2,2004.0,Misc,Sega,1.54,1.14,0.0,0.22,2.9,NA
497,Sega Superstars Tennis,X360,2008.0,Sports,Sega,1.75,0.86,0.0,0.28,2.9,NA
498,World Soccer Winning Eleven 7 International,PS2,2003.0,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,EU
499,Need for Speed: Most Wanted,PS3,2012.0,Racing,Electronic Arts,0.71,1.51,0.06,0.61,2.89,EU
500,Hot Shots Golf 3,PS2,2001.0,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89,JP
501,Call of Duty: Finest Hour,PS2,2004.0,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,NA
502,Zumba Fitness 2,Wii,2011.0,Sports,Majesco Entertainment,1.54,1.07,0.0,0.28,2.88,NA
503,Syphon Filter,PS,1999.0,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88,NA
504,Imagine: Babyz,DS,2007.0,Simulation,Ubisoft,1.3,1.27,0.0,0.31,2.88,NA
505,Colin McRae Rally,PS,1998.0,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87,EU
506,Call of Duty: Ghosts,XOne,2013.0,Shooter,Activision,1.87,0.77,0.0,0.22,2.86,NA
507,Madden NFL 13,X360,2012.0,Sports,Electronic Arts,2.53,0.16,0.0,0.17,2.86,NA
508,The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86,NA
509,Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0.0,0.32,2.85,NA
510,F-Zero,SNES,1990.0,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,NA
511,Yoshi's Story,N64,1997.0,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,NA
512,Command & Conquer: Red Alert,PC,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,NA
513,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.4,1.14,0.0,0.31,2.85,NA
514,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85,EU
515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84,NA
516,BioShock,X360,2007.0,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83,NA
517,Madden NFL 10,X360,2009.0,Sports,Electronic Arts,2.52,0.09,0.0,0.22,2.83,NA
518,Medal of Honor,PS3,2010.0,Shooter,Electronic Arts,1.28,1.05,0.07,0.43,2.83,NA
519,WWE SmackDown! vs. Raw,PS2,2002.0,Fighting,THQ,1.32,1.08,0.04,0.39,2.83,NA
520,Metroid Prime,GC,2002.0,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,NA
521,Finding Nemo,GBA,2003.0,Action,THQ,1.59,1.05,0.04,0.14,2.82,NA
522,Myst,PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,EU
523,Need for Speed: Hot Pursuit,PS3,2010.0,Racing,Electronic Arts,1.05,1.25,0.03,0.48,2.81,EU
524,Imagine: Fashion Designer,DS,2007.0,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81,NA
525,WWE SmackDown! Here Comes the Pain,PS2,2003.0,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,NA
526,Star Wars: The Force Unleashed,X360,2008.0,Action,LucasArts,1.74,0.8,0.0,0.26,2.8,NA
527,Yoshi's Island DS,DS,2006.0,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8,NA
528,Hot Shots Golf,PS,1997.0,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79,JP
529,Killzone 3,PS3,2011.0,Shooter,Sony Computer Entertainment,1.45,0.88,0.09,0.38,2.79,NA
530,A Bug's Life,PS,1998.0,Platform,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79,NA
531,WWF SmackDown! Just Bring It,PS2,2001.0,Fighting,THQ,1.19,1.15,0.04,0.41,2.79,NA
532,Dragon Quest V: Tenkuu no Hanayome,SNES,1992.0,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79,JP
533,Mortal Kombat Trilogy,PS,1996.0,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79,NA
534,Battlefield 3,PC,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79,EU
535,NBA Street,PS2,2001.0,Sports,Electronic Arts,2.19,0.22,0.0,0.38,2.79,NA
536,Professor Layton and the Last Specter,DS,2009.0,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79,EU
537,Monster Hunter Tri,3DS,2011.0,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79,JP
538,Jak II,PS2,2003.0,Platform,Sony Computer Entertainment,1.68,0.74,0.0,0.36,2.78,NA
539,inFAMOUS: Second Son,PS4,2014.0,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78,NA
540,Ratchet & Clank: Going Commando,PS2,2003.0,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,NA
541,Tekken 6,PS3,2009.0,Fighting,Namco Bandai Games,1.2,0.98,0.17,0.43,2.78,NA
542,The Sims,PS2,2003.0,Simulation,Electronic Arts,1.41,1.12,0.0,0.24,2.77,NA
543,Sonic and the Secret Rings,Wii,2007.0,Platform,Sega,1.24,1.2,0.04,0.3,2.77,NA
544,Saints Row: The Third,X360,2011.0,Action,THQ,1.25,1.15,0.07,0.3,2.77,NA
545,Missile Command,2600,1980.0,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,NA
546,Mario Paint,SNES,1992.0,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,NA
547,Assassin's Creed IV: Black Flag,PS4,2013.0,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74,EU
548,Pokémon Stadium 2,N64,2000.0,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73,JP
549,Metroid,NES,1986.0,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,NA
550,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72,NA
551,Call of Duty 3,X360,2006.0,Shooter,Activision,1.49,0.93,0.02,0.27,2.71,NA
552,The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,NA
553,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,JP
554,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0.0,0.47,2.7,NA
555,Mario Party,N64,1998.0,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7,NA
556,Madden NFL 12,X360,2011.0,Sports,Electronic Arts,2.42,0.11,0.0,0.16,2.69,NA
557,LEGO Star Wars II: The Original Trilogy,PS2,2006.0,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,NA
558,Madden NFL 11,X360,2010.0,Sports,Electronic Arts,2.38,0.12,0.0,0.18,2.69,NA
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010.0,Puzzle,Nintendo,1.63,0.52,0.35,0.18,2.69,NA
560,Skate 3,X360,2010.0,Sports,Electronic Arts,1.46,0.98,0.0,0.24,2.68,NA
561,Burnout 3: Takedown,PS2,2004.0,Racing,Electronic Arts,1.23,1.11,0.0,0.34,2.68,NA
562,Yokai Watch 2 Shinuchi,3DS,2014.0,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68,JP
563,Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68,EU
564,Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68,JP
565,Mortal Kombat,GEN,1992.0,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67,NA
566,Call Of Duty 2: Big Red One,PS2,2005.0,Shooter,Activision,1.48,0.92,0.01,0.26,2.67,NA
567,Guitar Hero: World Tour,X360,2008.0,Misc,Activision,1.78,0.64,0.0,0.25,2.67,NA
568,Medal of Honor,PS,1998.0,Shooter,Electronic Arts,1.44,1.09,0.0,0.14,2.67,NA
569,Fable,XB,2004.0,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66,NA
570,Hannah Montana,DS,2006.0,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.65,NA
571,Tom Clancy's Splinter Cell,PS2,2003.0,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65,NA
572,Skylanders Giants,Wii,2012.0,Action,Activision,1.56,0.88,0.0,0.22,2.65,NA
573,Medal of Honor Heroes,PSP,2006.0,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65,EU
574,Super Mario Bros.: The Lost Levels,NES,1986.0,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65,JP
575,Star Wars: Shadows of the Empire,N64,1996.0,Action,Nintendo,2.0,0.5,0.12,0.03,2.65,NA
576,LEGO Star Wars: The Complete Saga,X360,2007.0,Action,LucasArts,1.53,0.87,0.0,0.24,2.64,NA
577,Midnight Club: Street Racing,PS2,2000.0,Racing,Take-Two Interactive,2.0,0.47,0.02,0.14,2.63,NA
578,Pac-Man: Adventures in Time,PSP,2006.0,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,0.65,2.63,EU
579,Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24,2.63,NA
580,God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment,1.7,0.46,0.06,0.41,2.63,NA
581,ESPN NFL 2K5,PS2,2004.0,Sports,Sega,2.15,0.12,0.0,0.36,2.62,NA
582,Mario Strikers Charged,Wii,2007.0,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62,NA
583,Medal of Honor,X360,2010.0,Shooter,Electronic Arts,1.55,0.81,0.04,0.21,2.62,NA
584,FIFA Soccer 10,X360,2009.0,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62,EU
585,NBA 2K12,X360,2011.0,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62,NA
586,Style Savvy,DS,2008.0,Simulation,Nintendo,0.63,0.84,0.96,0.19,2.61,JP
587,Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61,EU
588,Super Mario All-Stars: Limited Edition,Wii,2010.0,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6,NA
589,Streets of Rage,GEN,1990.0,Action,Sega,1.86,0.55,0.11,0.08,2.6,NA
590,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59,EU
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007.0,Platform,Sony Computer Entertainment,0.93,1.12,0.08,0.45,2.59,EU
592,NBA Live 2005,PS2,2004.0,Sports,Electronic Arts,2.03,0.21,0.0,0.35,2.59,NA
593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58,EU
594,Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58,EU
595,Ghostbusters: The Video Game (DS Version),X360,2009.0,Action,Take-Two Interactive,1.04,1.24,0.03,0.27,2.58,EU
596,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58,JP
597,WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,NA
598,Ratchet & Clank: Up Your Arsenal,PS2,2004.0,Platform,Sony Computer Entertainment,1.31,0.74,0.31,0.22,2.57,NA
599,Art Academy,DS,2010.0,Misc,Nintendo,0.28,1.68,0.33,0.28,2.57,EU
600,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22,2.57,NA
601,Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,2.14,0.08,0.0,0.35,2.57,NA
602,Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,1.7,0.59,0.21,0.07,2.56,NA
603,Dragon Warrior II,NES,1987.0,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56,JP
604,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,NA
605,Pokémon Colosseum,GC,2003.0,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54,NA
606,Deca Sports,Wii,2008.0,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54,NA
607,Madden NFL 09,X360,2008.0,Sports,Electronic Arts,2.21,0.12,0.0,0.2,2.54,NA
608,Space Invaders,2600,,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,NA
609,Crazy Taxi,PS2,2001.0,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52,NA
610,Perfect Dark,N64,2000.0,Action,Nintendo,1.55,0.75,0.16,0.06,2.52,NA
611,Game Party,Wii,2007.0,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52,NA
612,Dragon Warrior,NES,1986.0,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52,OTHER
613,Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,1.31,0.08,0.52,2.51,EU
614,Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5,NA
615,PES 2009: Pro Evolution Soccer,PS2,2008.0,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5,OTHER
616,Mario Party 2,N64,1999.0,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5,NA
617,Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,1.06,0.18,0.39,2.49,EU
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49,NA
619,LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0.0,0.23,2.49,NA
620,Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,Midway Games,1.81,0.52,0.0,0.15,2.49,NA
621,Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.15,0.85,0.1,0.39,2.48,NA
622,Pure,X360,2008.0,Racing,Disney Interactive Studios,1.38,0.85,0.0,0.25,2.48,NA
623,Tomb Raider: The Last Revelation,PS,1998.0,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,NA
624,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,NA
625,Rock Band,X360,,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48,NA
626,NBA 2K14,X360,2013.0,Sports,Take-Two Interactive,2.1,0.2,0.0,0.17,2.47,NA
627,Mario Party 4,GC,2002.0,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,NA
628,uDraw Studio,Wii,2010.0,Misc,THQ,1.67,0.58,0.0,0.2,2.46,NA
629,Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45,NA
630,Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45,JP
631,Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,JP
632,Twisted Metal 2,PS,1996.0,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,NA
633,Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Game Studios,1.44,0.73,0.04,0.22,2.44,NA
634,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.98,0.0,0.59,2.44,EU
635,The Sims: Bustin' Out,PS2,2003.0,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,2.43,EU
636,Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,NA
637,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft,1.56,0.61,0.02,0.23,2.42,NA
638,Sonic Adventure,DC,1998.0,Platform,Sega,1.26,0.61,0.46,0.08,2.42,NA
639,Ice Hockey,NES,1988.0,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,NA
640,pro evolution soccer 2011,PS3,2010.0,Sports,Konami Digital Entertainment,0.29,1.18,0.54,0.41,2.42,EU
641,Dragon Ball Z: Budokai 2,PS2,2003.0,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,NA
642,ATV Offroad Fury,PS2,2001.0,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,NA
643,Dino Crisis,PS,1998.0,Action,Capcom,0.81,0.76,0.7,0.14,2.41,NA
644,Minecraft,XOne,2014.0,Misc,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41,NA
645,Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,0.69,0.0,0.04,1.68,2.41,OTHER
646,Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,2.07,0.08,0.0,0.26,2.4,NA
647,Tetris Plus,PS,1996.0,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4,NA
648,Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,JP
649,Theme Hospital,PC,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4,NA
650,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,NA
651,Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39,EU
652,Zumba Fitness,X360,2010.0,Sports,505 Games,1.74,0.48,0.0,0.18,2.39,NA
653,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.54,0.63,0.0,0.22,2.39,NA
655,Monopoly,PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,NA
656,Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,1.07,0.87,0.04,0.4,2.39,NA
657,Dead Island,X360,2011.0,Action,Deep Silver,1.48,0.71,0.0,0.2,2.39,NA
658,Guitar Hero,PS2,2005.0,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,NA
659,LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,1.02,0.97,0.0,0.39,2.38,NA
660,Kinect: Disneyland Adventures,X360,2011.0,Misc,Microsoft Game Studios,1.73,0.46,0.02,0.18,2.38,NA
661,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38,NA
662,Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.0,0.76,0.26,0.36,2.38,NA
663,NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38,NA
664,Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,0.15,0.0,0.19,2.38,NA
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,1.16,0.91,0.0,0.3,2.38,NA
666,Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37,NA
667,Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,NA
668,The Incredibles,PS2,2004.0,Action,THQ,0.96,1.08,0.04,0.3,2.37,EU
669,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,1.25,0.86,0.01,0.26,2.37,NA
670,Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,NA
671,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36,NA
672,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,JP
673,LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0.0,0.23,2.35,NA
674,Donkey Kong Land II,GB,1996.0,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,NA
675,Dragon Warrior Monsters,GB,1998.0,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01,2.35,JP
676,Midnight Club: Los Angeles,X360,2008.0,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35,NA
677,Skylanders SWAP Force,Wii,2013.0,Platform,Activision,1.32,0.83,0.0,0.2,2.34,NA
678,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,0.92,0.0,0.01,1.41,2.34,OTHER
679,My Fitness Coach,Wii,2008.0,Sports,Ubisoft,1.2,0.9,0.0,0.24,2.34,NA
680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,0.34,0.21,2.34,NA
681,The Sims 3,X360,2010.0,Simulation,Electronic Arts,1.27,0.86,0.0,0.2,2.33,NA
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.14,0.54,0.47,0.17,2.32,NA
683,NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,1.93,0.14,0.0,0.24,2.32,NA
684,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.57,0.56,0.0,0.19,2.32,NA
685,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32,JP
686,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,EU
687,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31,EU
688,WarioWare Touched!,DS,2004.0,Puzzle,Nintendo,0.52,0.45,1.21,0.13,2.31,JP
689,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31,NA
690,Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01,2.31,JP
691,Cool Boarders 3,PS,1998.0,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31,NA
692,LEGO Marvel Super Heroes,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.24,0.85,0.0,0.21,2.3,NA
693,Guild Wars 2,PC,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,EU
694,Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3,NA
695,Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.75,0.15,0.31,2.29,NA
696,Tomb Raider II,PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,EU
697,God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,1.23,0.68,0.04,0.34,2.29,NA
698,Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,NA
699,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,EU
700,Just Dance 2015,Wii,2014.0,Misc,Ubisoft,1.11,0.98,0.0,0.2,2.28,NA
701,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.28,0.0,2.28,JP
702,Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,JP
703,FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,OTHER
704,Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,1.01,0.9,0.0,0.37,2.28,NA
705,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28,NA
706,TOCA Touring Car Championship,PS,1997.0,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28,EU
707,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,NA
708,Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,1.34,0.62,0.0,0.31,2.27,NA
709,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.07,0.92,0.04,0.24,2.27,NA
710,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,NA
711,Wario Land 4,GBA,2001.0,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,NA
712,Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,1.4,0.54,0.02,0.3,2.26,NA
713,Call of Duty 3,Wii,,Shooter,Activision,1.19,0.84,0.0,0.23,2.26,NA
714,Resident Evil 4,Wii,2007.0,Action,Capcom,1.34,0.57,0.14,0.21,2.26,NA
715,Minecraft,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25,JP
716,Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,JP
717,Cool Boarders 2,PS,1997.0,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,NA
718,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,NA
719,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,NA
720,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25,JP
721,Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25,JP
722,Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24,NA
723,Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,NA
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,NA
